,Comments,Tokens,Filtered Tokens,Stemmed Filtered Tokens,Lemmatized Filtered Tokens,Afinn Score of Lem,Afinn Overall Score of Lem,Afinn Sentiment,Bing Positive Tokens,Bing Positive count,Bing Negative Tokens,Bing Negative count,Bing Score,Bing Sentiment,Unknown Tokens
47,very bad services from rapid my aaplcation was not complet says family details error,"['very', 'bad', 'services', 'from', 'rapid', 'my', 'aaplcation', 'was', 'not', 'complet', 'says', 'family', 'details', 'error']","['services', 'rapid', 'aaplcation', 'complet', 'family', 'details', 'error']","['servic', 'rapid', 'aaplcat', 'complet', 'famili', 'detail', 'error']","['service', 'rapid', 'aaplcation', 'complet', 'family', 'detail', 'error']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0]",[-2.0],negative,['rapid'],1,['error'],1,0,neutral,"['service', 'aaplcation', 'complet', 'family', 'detail']"
48,because there is not settled money instantly.not as like another merchant instant setelment,"['because', 'there', 'is', 'not', 'settled', 'money', 'instantly', 'not', 'as', 'like', 'another', 'merchant', 'instant', 'setelment']","['settled', 'instantly', 'merchant', 'setelment']","['settl', 'instant', 'merchant', 'setel']","['settle', 'instantly', 'merchant', 'setelment']","[0.0, 0.0, 0.0, 0.0]",[0.0],neutral,['instantly'],1,[],0,1,positive,"['settle', 'merchant', 'setelment']"
49,"i have taken loan of rupees 1500 for 15 days and repayment was rupees 1775 , unfortunately i was unable to pay this during lockdown so these people charged overdue amount and repay amount visible in app is 2800 approx. and they are continuously sending messages that your overdue charges are waived off please pay 1775 then recently in the end of may i paid rupees 1775 now they are again sending messages that your overdue charges are waived off please pay 1048 then please pay 1125.","['i', 'have', 'taken', 'loan', 'of', 'rupees', '1500', 'for', '15', 'days', 'and', 'repayment', 'was', 'rupees', '1775', 'unfortunately', 'i', 'was', 'unable', 'to', 'pay', 'this', 'during', 'lockdown', 'so', 'these', 'people', 'charged', 'overdue', 'amount', 'and', 'repay', 'amount', 'visible', 'in', 'app', 'is', '2800', 'approx', 'and', 'they', 'are', 'continuously', 'sending', 'messages', 'that', 'your', 'overdue', 'charges', 'are', 'waived', 'off', 'please', 'pay', '1775', 'then', 'recently', 'in', 'the', 'end', 'of', 'may', 'i', 'paid', 'rupees', '1775', 'now', 'they', 'are', 'again', 'sending', 'messages', 'that', 'your', 'overdue', 'charges', 'are', 'waived', 'off', 'please', 'pay', '1048', 'then', 'please', 'pay', '1125']","['days', 'repayment', '1775', 'unable', 'lockdown', 'people', 'charged', 'overdue', 'amount', 'repay', 'amount', 'visible', '2800', 'approx', 'continuously', 'sending', 'messages', 'overdue', 'charges', 'waived', '1775', 'paid', '1775', 'sending', 'messages', 'overdue', 'charges', 'waived', '1048', '1125']","['day', 'repay', '1775', 'unabl', 'lockdown', 'peopl', 'charg', 'overdu', 'amount', 'repay', 'amount', 'visibl', '2800', 'approx', 'continu', 'send', 'messag', 'overdu', 'charg', 'waiv', '1775', 'paid', '1775', 'send', 'messag', 'overdu', 'charg', 'waiv', '1048', '1125']","['days', 'repayment', '1775', 'unable', 'lockdown', 'people', 'charge', 'overdue', 'amount', 'repay', 'amount', 'visible', '2800', 'approx', 'continuously', 'send', 'message', 'overdue', 'charge', 'waive', '1775', 'pay', '1775', 'send', 'message', 'overdue', 'charge', 'waive', '1048', '1125']","[0.0, 0.0, 0.0, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[-3.0],negative,[],0,"['unable', 'overdue', 'overdue', 'overdue']",4,-4,negative,"['days', 'repayment', '1775', 'lockdown', 'people', 'charge', 'amount', 'repay', 'amount', 'visible', '2800', 'approx', 'continuously', 'send', 'message', 'charge', 'waive', '1775', 'pay', '1775', 'send', 'message', 'charge', 'waive', '1048', '1125']"
50,"i applied for a loan and got 1000 rupees.the real issue is in this lockdown period they continousaly called and messaged for repayment.they offered "" you only have to pay rs.1200 and dont need to pay extra fine"".so some how in this critical condition, i managed to pay the money.after some days i again receive messages daily three to four times that i have to pay the fine too.they are no. 1 fraud group who dont keep their promises.so beware of this app.","['i', 'applied', 'for', 'a', 'loan', 'and', 'got', '1000', 'rupees', 'the', 'real', 'issue', 'is', 'in', 'this', 'lockdown', 'period', 'they', 'continousaly', 'called', 'and', 'messaged', 'for', 'repayment', 'they', 'offered', 'you', 'only', 'have', 'to', 'pay', 'rs', '1200', 'and', 'dont', 'need', 'to', 'pay', 'extra', 'fine', 'so', 'some', 'how', 'in', 'this', 'critical', 'condition', 'i', 'managed', 'to', 'pay', 'the', 'money', 'after', 'some', 'days', 'i', 'again', 'receive', 'messages', 'daily', 'three', 'to', 'four', 'times', 'that', 'i', 'have', 'to', 'pay', 'the', 'fine', 'too', 'they', 'are', 'no', '1', 'fraud', 'group', 'who', 'dont', 'keep', 'their', 'promises', 'so', 'beware', 'of', 'this', 'app']","['applied', 'real', 'issue', 'lockdown', 'period', 'continousaly', 'called', 'messaged', 'repayment', 'offered', 'rs', '1200', 'extra', 'fine', 'critical', 'condition', 'managed', 'days', 'receive', 'messages', 'daily', 'times', 'fine', 'promises', 'beware']","['appli', 'real', 'issu', 'lockdown', 'period', 'continousali', 'call', 'messag', 'repay', 'offer', 'rs', '1200', 'extra', 'fine', 'critic', 'condit', 'manag', 'day', 'receiv', 'messag', 'daili', 'time', 'fine', 'promis', 'bewar']","['apply', 'real', 'issue', 'lockdown', 'period', 'continousaly', 'call', 'message', 'repayment', 'offer', 'rs', '1200', 'extra', 'fine', 'critical', 'condition', 'manage', 'days', 'receive', 'message', 'daily', 'time', 'fine', 'promise', 'beware']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0]",[5.0],positive,"['fine', 'fine', 'promise']",3,"['issue', 'critical', 'beware']",3,0,neutral,"['apply', 'real', 'lockdown', 'period', 'continousaly', 'call', 'message', 'repayment', 'offer', 'rs', '1200', 'extra', 'condition', 'manage', 'days', 'receive', 'message', 'daily', 'time']"
51,"fraud payment processor, they deduct payments from senders account but do not transfer to merchant. then on enquiry, they tell sender to ask merchant to check and confirm payment received in their bank account, which obviously didn't happen already. bharatpe simply refuses of any liability toward the sender on which they rely for their transaction charges. too bad.","['fraud', 'payment', 'processor', 'they', 'deduct', 'payments', 'from', 'senders', 'account', 'but', 'do', 'not', 'transfer', 'to', 'merchant', 'then', 'on', 'enquiry', 'they', 'tell', 'sender', 'to', 'ask', 'merchant', 'to', 'check', 'and', 'confirm', 'payment', 'received', 'in', 'their', 'bank', 'account', 'which', 'obviously', 'didn', 't', 'happen', 'already', 'bharatpe', 'simply', 'refuses', 'of', 'any', 'liability', 'toward', 'the', 'sender', 'on', 'which', 'they', 'rely', 'for', 'their', 'transaction', 'charges', 'too', 'bad']","['payment', 'processor', 'deduct', 'payments', 'senders', 'account', 'transfer', 'merchant', 'enquiry', 'sender', 'merchant', 'check', 'confirm', 'payment', 'received', 'bank', 'account', 'happen', 'simply', 'refuses', 'liability', 'sender', 'rely', 'transaction', 'charges']","['payment', 'processor', 'deduct', 'payment', 'sender', 'account', 'transfer', 'merchant', 'enquiri', 'sender', 'merchant', 'check', 'confirm', 'payment', 'receiv', 'bank', 'account', 'happen', 'simpli', 'refus', 'liabil', 'sender', 'reli', 'transact', 'charg']","['payment', 'processor', 'deduct', 'payments', 'senders', 'account', 'transfer', 'merchant', 'enquiry', 'sender', 'merchant', 'check', 'confirm', 'payment', 'receive', 'bank', 'account', 'happen', 'simply', 'refuse', 'liability', 'sender', 'rely', 'transaction', 'charge']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[-2.0],negative,[],0,"['refuse', 'liability']",2,-2,negative,"['payment', 'processor', 'deduct', 'payments', 'senders', 'account', 'transfer', 'merchant', 'enquiry', 'sender', 'merchant', 'check', 'confirm', 'payment', 'receive', 'bank', 'account', 'happen', 'simply', 'sender', 'rely', 'transaction', 'charge']"
52,it is a fraud but do not install it in any phone. your money will be deducted. this company does not pay please in fse. what will you give to this company after taking your money? do not invest in it.,"['it', 'is', 'a', 'fraud', 'but', 'do', 'not', 'install', 'it', 'in', 'any', 'phone', 'your', 'money', 'will', 'be', 'deducted', 'this', 'company', 'does', 'not', 'pay', 'please', 'in', 'fse', 'what', 'will', 'you', 'give', 'to', 'this', 'company', 'after', 'taking', 'your', 'money', 'do', 'not', 'invest', 'in', 'it']","['install', 'deducted', 'fse', 'invest']","['instal', 'deduct', 'fse', 'invest']","['install', 'deduct', 'fse', 'invest']","[0.0, 0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['install', 'deduct', 'fse', 'invest']"
53,please do not download this app because this app taking benefit of people forcedness. providing 1000/-rs loan first and charging 1590/-rs for 7 days 1593/-rs for 14 days 1595/-rs for 21 days 1598/-rs for 30 days please report this app.,"['please', 'do', 'not', 'download', 'this', 'app', 'because', 'this', 'app', 'taking', 'benefit', 'of', 'people', 'forcedness', 'providing', '1000', 'rs', 'loan', 'first', 'and', 'charging', '1590', 'rs', 'for', '7', 'days', '1593', 'rs', 'for', '14', 'days', '1595', 'rs', 'for', '21', 'days', '1598', 'rs', 'for', '30', 'days', 'please', 'report', 'this', 'app']","['download', 'benefit', 'people', 'forcedness', 'providing', 'rs', 'charging', '1590', 'rs', 'days', '1593', 'rs', '14', 'days', '1595', 'rs', '21', 'days', '1598', 'rs', '30', 'days']","['download', 'benefit', 'peopl', 'forced', 'provid', 'rs', 'charg', '1590', 'rs', 'day', '1593', 'rs', '14', 'day', '1595', 'rs', '21', 'day', '1598', 'rs', '30', 'day']","['download', 'benefit', 'people', 'forcedness', 'provide', 'rs', 'charge', '1590', 'rs', 'days', '1593', 'rs', '14', 'days', '1595', 'rs', '21', 'days', '1598', 'rs', '30', 'days']","[0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[2.0],positive,['benefit'],1,[],0,1,positive,"['download', 'people', 'forcedness', 'provide', 'rs', 'charge', '1590', 'rs', 'days', '1593', 'rs', '14', 'days', '1595', 'rs', '21', 'days', '1598', 'rs', '30', 'days']"
54,i'm using bharat pe from last 3 month and my transaction also good but they are not providing me loan i totally regret that i'm using this app they are totally fraud kindley do not use bharat pe,"['i', 'm', 'using', 'bharat', 'pe', 'from', 'last', '3', 'month', 'and', 'my', 'transaction', 'also', 'good', 'but', 'they', 'are', 'not', 'providing', 'me', 'loan', 'i', 'totally', 'regret', 'that', 'i', 'm', 'using', 'this', 'app', 'they', 'are', 'totally', 'fraud', 'kindley', 'do', 'not', 'use', 'bharat', 'pe']","['month', 'transaction', 'providing', 'totally', 'regret', 'totally', 'kindley']","['month', 'transact', 'provid', 'total', 'regret', 'total', 'kindley']","['month', 'transaction', 'provide', 'totally', 'regret', 'totally', 'kindley']","[0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0]",[-2.0],negative,[],0,['regret'],1,-1,negative,"['month', 'transaction', 'provide', 'totally', 'totally', 'kindley']"
55,app is good but they are can't understand we customer are faceing covid 19 situation we are in the house from last 2month across....they every day taking late fee and late fee too high,"['app', 'is', 'good', 'but', 'they', 'are', 'can', 't', 'understand', 'we', 'customer', 'are', 'faceing', 'covid', '19', 'situation', 'we', 'are', 'in', 'the', 'house', 'from', 'last', '2month', 'across', 'they', 'every', 'day', 'taking', 'late', 'fee', 'and', 'late', 'fee', 'too', 'high']","['understand', 'customer', 'faceing', 'covid', '19', 'situation', 'house', '2month', 'fee', 'fee']","['understand', 'custom', 'face', 'covid', '19', 'situat', 'hous', '2month', 'fee', 'fee']","['understand', 'customer', 'face', 'covid', '19', 'situation', 'house', '2month', 'fee', 'fee']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['understand', 'customer', 'face', 'covid', '19', 'situation', 'house', '2month', 'fee', 'fee']"
56,please don't give loan to me.worst app charging more please cancel my loan amount. i don't want from you for 1000 rs you are charging 590. worst totally worst.,"['please', 'don', 't', 'give', 'loan', 'to', 'me', 'worst', 'app', 'charging', 'more', 'please', 'cancel', 'my', 'loan', 'amount', 'i', 'don', 't', 'want', 'from', 'you', 'for', '1000', 'rs', 'you', 'are', 'charging', '590', 'worst', 'totally', 'worst']","['charging', 'cancel', 'amount', 'rs', 'charging', '590', 'totally']","['charg', 'cancel', 'amount', 'rs', 'charg', '590', 'total']","['charge', 'cancel', 'amount', 'rs', 'charge', '590', 'totally']","[0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[-1.0],negative,[],0,[],0,0,neutral,"['charge', 'cancel', 'amount', 'rs', 'charge', '590', 'totally']"
57,fake hai loan dekar double paise lutne ka kam hai please inke jal me na fase or charg laga lga ke loan amount double kar deti hai,"['fake', 'hai', 'loan', 'dekar', 'double', 'paise', 'lutne', 'ka', 'kam', 'hai', 'please', 'inke', 'jal', 'me', 'na', 'fase', 'or', 'charg', 'laga', 'lga', 'ke', 'loan', 'amount', 'double', 'kar', 'deti', 'hai']","['dekar', 'double', 'paise', 'lutne', 'kam', 'inke', 'jal', 'fase', 'charg', 'laga', 'lga', 'amount', 'double', 'deti']","['dekar', 'doubl', 'pais', 'lutn', 'kam', 'ink', 'jal', 'fase', 'charg', 'laga', 'lga', 'amount', 'doubl', 'deti']","['dekar', 'double', 'paise', 'lutne', 'kam', 'inke', 'jal', 'fase', 'charg', 'laga', 'lga', 'amount', 'double', 'deti']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['dekar', 'double', 'paise', 'lutne', 'kam', 'inke', 'jal', 'fase', 'charg', 'laga', 'lga', 'amount', 'double', 'deti']"
58,worst application my first loan approved of 1000 i repayed on time but when applied for second loan they rejected my loan. what the hack it is,"['worst', 'application', 'my', 'first', 'loan', 'approved', 'of', '1000', 'i', 'repayed', 'on', 'time', 'but', 'when', 'applied', 'for', 'second', 'loan', 'they', 'rejected', 'my', 'loan', 'what', 'the', 'hack', 'it', 'is']","['application', 'approved', 'repayed', 'applied', 'rejected', 'hack']","['applic', 'approv', 'repay', 'appli', 'reject', 'hack']","['application', 'approve', 'repay', 'apply', 'reject', 'hack']","[0.0, 0.0, 0.0, 0.0, -1.0, 0.0]",[-1.0],negative,['approve'],1,"['reject', 'hack']",2,-1,negative,"['application', 'repay', 'apply']"
59,very bad because i will pay money on time but u will u cant pay ur loan please pay ur loan .what is this,"['very', 'bad', 'because', 'i', 'will', 'pay', 'money', 'on', 'time', 'but', 'u', 'will', 'u', 'cant', 'pay', 'ur', 'loan', 'please', 'pay', 'ur', 'loan', 'what', 'is', 'this']",[],[],[],[],[0],neutral,[],0,[],0,0,neutral,[]
60,i pay loan 2 times on time but 3rd time i am not eligible apply after 30 days wrost experience.,"['i', 'pay', 'loan', '2', 'times', 'on', 'time', 'but', '3rd', 'time', 'i', 'am', 'not', 'eligible', 'apply', 'after', '30', 'days', 'wrost', 'experience']","['times', '3rd', 'eligible', 'apply', '30', 'days', 'wrost', 'experience']","['time', '3rd', 'elig', 'appli', '30', 'day', 'wrost', 'experi']","['time', '3rd', 'eligible', 'apply', '30', 'days', 'wrost', 'experience']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['time', '3rd', 'eligible', 'apply', '30', 'days', 'wrost', 'experience']"
61,don't download this app it's froud app they harassing for repayment and call to contact list,"['don', 't', 'download', 'this', 'app', 'it', 's', 'froud', 'app', 'they', 'harassing', 'for', 'repayment', 'and', 'call', 'to', 'contact', 'list']","['download', 'harassing', 'repayment', 'contact', 'list']","['download', 'harass', 'repay', 'contact', 'list']","['download', 'harass', 'repayment', 'contact', 'list']","[0.0, -3.0, 0.0, 0.0, 0.0]",[-3.0],negative,[],0,['harass'],1,-1,negative,"['download', 'repayment', 'contact', 'list']"
62,pdf copy of ebook not get by customer...no response from support team...very bad experience,"['pdf', 'copy', 'of', 'ebook', 'not', 'get', 'by', 'customer', 'no', 'response', 'from', 'support', 'team', 'very', 'bad', 'experience']","['pdf', 'ebook', 'customer', 'response', 'support', 'team', 'experience']","['pdf', 'ebook', 'custom', 'respons', 'support', 'team', 'experi']","['pdf', 'ebook', 'customer', 'response', 'support', 'team', 'experience']","[0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0]",[2.0],positive,['support'],1,[],0,1,positive,"['pdf', 'ebook', 'customer', 'response', 'team', 'experience']"
63,very time consuming app. i don't think it works also. please don't download it.,"['very', 'time', 'consuming', 'app', 'i', 'don', 't', 'think', 'it', 'works', 'also', 'please', 'don', 't', 'download', 'it']","['consuming', 'download']","['consum', 'download']","['consume', 'download']","[0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['consume', 'download']"
64,worst application...loan repayed will not reflect and instead of updating payment they charge more.,"['worst', 'application', 'loan', 'repayed', 'will', 'not', 'reflect', 'and', 'instead', 'of', 'updating', 'payment', 'they', 'charge', 'more']","['application', 'repayed', 'reflect', 'updating', 'payment', 'charge']","['applic', 'repay', 'reflect', 'updat', 'payment', 'charg']","['application', 'repay', 'reflect', 'update', 'payment', 'charge']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['application', 'repay', 'reflect', 'update', 'payment', 'charge']"
65,error dear user please use mi-credit app to konw your loan details,"['error', 'dear', 'user', 'please', 'use', 'mi', 'credit', 'app', 'to', 'konw', 'your', 'loan', 'details']","['error', 'user', 'mi', 'credit', 'konw', 'details']","['error', 'user', 'mi', 'credit', 'konw', 'detail']","['error', 'user', 'mi', 'credit', 'konw', 'detail']","[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[-2.0],negative,[],0,['error'],1,-1,negative,"['user', 'mi', 'credit', 'konw', 'detail']"
66,error dear user please use mi-credit app to konw your loan details,"['error', 'dear', 'user', 'please', 'use', 'mi', 'credit', 'app', 'to', 'konw', 'your', 'loan', 'details']","['error', 'user', 'mi', 'credit', 'konw', 'details']","['error', 'user', 'mi', 'credit', 'konw', 'detail']","['error', 'user', 'mi', 'credit', 'konw', 'detail']","[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[-2.0],negative,[],0,['error'],1,-1,negative,"['user', 'mi', 'credit', 'konw', 'detail']"
67,pathetic app... every time u apply for a loan it's says rejected,"['pathetic', 'app', 'every', 'time', 'u', 'apply', 'for', 'a', 'loan', 'it', 's', 'says', 'rejected']","['apply', 'rejected']","['appli', 'reject']","['apply', 'reject']","[0.0, -1.0]",[-1.0],negative,[],0,['reject'],1,-1,negative,['apply']
68,dont install. intreste is too high like 50% of loan amount,"['dont', 'install', 'intreste', 'is', 'too', 'high', 'like', '50', 'of', 'loan', 'amount']","['install', 'intreste', '50', 'amount']","['instal', 'intrest', '50', 'amount']","['install', 'intreste', '50', 'amount']","[0.0, 0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['install', 'intreste', '50', 'amount']"
69,fake app! i am disappointing from this app .it does not support me during this pendemic situation whenever must be needed. please don't download this app. i was applying 3 to 4 times loan but every time it was rejected my application. i don't know why is they rejected my applying. i have all of the my document with good credit score but every time they rejected my loan. all of the online instant loan application currently don't provide personal loan this time its not fair. currently lots of peoples have needed the loan this time . so i hope they will support their customers to this pendemic situation.,"['fake', 'app', 'i', 'am', 'disappointing', 'from', 'this', 'app', 'it', 'does', 'not', 'support', 'me', 'during', 'this', 'pendemic', 'situation', 'whenever', 'must', 'be', 'needed', 'please', 'don', 't', 'download', 'this', 'app', 'i', 'was', 'applying', '3', 'to', '4', 'times', 'loan', 'but', 'every', 'time', 'it', 'was', 'rejected', 'my', 'application', 'i', 'don', 't', 'know', 'why', 'is', 'they', 'rejected', 'my', 'applying', 'i', 'have', 'all', 'of', 'the', 'my', 'document', 'with', 'good', 'credit', 'score', 'but', 'every', 'time', 'they', 'rejected', 'my', 'loan', 'all', 'of', 'the', 'online', 'instant', 'loan', 'application', 'currently', 'don', 't', 'provide', 'personal', 'loan', 'this', 'time', 'its', 'not', 'fair', 'currently', 'lots', 'of', 'peoples', 'have', 'needed', 'the', 'loan', 'this', 'time', 'so', 'i', 'hope', 'they', 'will', 'support', 'their', 'customers', 'to', 'this', 'pendemic', 'situation']","['disappointing', 'support', 'pendemic', 'situation', 'download', 'applying', 'times', 'rejected', 'application', 'rejected', 'applying', 'document', 'credit', 'score', 'rejected', 'online', 'application', 'provide', 'fair', 'hope', 'support', 'customers', 'pendemic', 'situation']","['disappoint', 'support', 'pendem', 'situat', 'download', 'appli', 'time', 'reject', 'applic', 'reject', 'appli', 'document', 'credit', 'score', 'reject', 'onlin', 'applic', 'provid', 'fair', 'hope', 'support', 'custom', 'pendem', 'situat']","['disappoint', 'support', 'pendemic', 'situation', 'download', 'apply', 'time', 'reject', 'application', 'reject', 'apply', 'document', 'credit', 'score', 'reject', 'online', 'application', 'provide', 'fair', 'hope', 'support', 'customers', 'pendemic', 'situation']","[-2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0]",[3.0],positive,"['support', 'fair', 'support']",3,"['disappoint', 'reject', 'reject', 'reject']",4,-1,negative,"['pendemic', 'situation', 'download', 'apply', 'time', 'application', 'apply', 'document', 'credit', 'score', 'online', 'application', 'provide', 'hope', 'customers', 'pendemic', 'situation']"
70,"app is very good but, recently i have not received notifications for emi moratorium. i want to keep emi moratorium but not showing in app till my due date, today i shown option for emi moratorium but link shows that it is not valid for june month, in march i received notifications for emi moratorium, now my account is shown due for emi, but i want to emi moratorium. there is no other way to keep emi moratorium in moneyview...???","['app', 'is', 'very', 'good', 'but', 'recently', 'i', 'have', 'not', 'received', 'notifications', 'for', 'emi', 'moratorium', 'i', 'want', 'to', 'keep', 'emi', 'moratorium', 'but', 'not', 'showing', 'in', 'app', 'till', 'my', 'due', 'date', 'today', 'i', 'shown', 'option', 'for', 'emi', 'moratorium', 'but', 'link', 'shows', 'that', 'it', 'is', 'not', 'valid', 'for', 'june', 'month', 'in', 'march', 'i', 'received', 'notifications', 'for', 'emi', 'moratorium', 'now', 'my', 'account', 'is', 'shown', 'due', 'for', 'emi', 'but', 'i', 'want', 'to', 'emi', 'moratorium', 'there', 'is', 'no', 'other', 'way', 'to', 'keep', 'emi', 'moratorium', 'in', 'moneyview']","['received', 'notifications', 'emi', 'moratorium', 'emi', 'moratorium', 'option', 'emi', 'moratorium', 'link', 'valid', 'june', 'month', 'march', 'received', 'notifications', 'emi', 'moratorium', 'account', 'emi', 'emi', 'moratorium', 'emi', 'moratorium']","['receiv', 'notif', 'emi', 'moratorium', 'emi', 'moratorium', 'option', 'emi', 'moratorium', 'link', 'valid', 'june', 'month', 'march', 'receiv', 'notif', 'emi', 'moratorium', 'account', 'emi', 'emi', 'moratorium', 'emi', 'moratorium']","['receive', 'notifications', 'emi', 'moratorium', 'emi', 'moratorium', 'option', 'emi', 'moratorium', 'link', 'valid', 'june', 'month', 'march', 'receive', 'notifications', 'emi', 'moratorium', 'account', 'emi', 'emi', 'moratorium', 'emi', 'moratorium']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['receive', 'notifications', 'emi', 'moratorium', 'emi', 'moratorium', 'option', 'emi', 'moratorium', 'link', 'valid', 'june', 'month', 'march', 'receive', 'notifications', 'emi', 'moratorium', 'account', 'emi', 'emi', 'moratorium', 'emi', 'moratorium']"
71,"they charges a lot amount of interest. higher than normal banks. i missed one emi due to some personal reasons, ideally i will have to pay emi return charges one time. but they are very greedy they asked my bank to pay twice in a single day, hence for single emi i paid double charges. only choose loan from money view if it is really very urgent.","['they', 'charges', 'a', 'lot', 'amount', 'of', 'interest', 'higher', 'than', 'normal', 'banks', 'i', 'missed', 'one', 'emi', 'due', 'to', 'some', 'personal', 'reasons', 'ideally', 'i', 'will', 'have', 'to', 'pay', 'emi', 'return', 'charges', 'one', 'time', 'but', 'they', 'are', 'very', 'greedy', 'they', 'asked', 'my', 'bank', 'to', 'pay', 'twice', 'in', 'a', 'single', 'day', 'hence', 'for', 'single', 'emi', 'i', 'paid', 'double', 'charges', 'only', 'choose', 'loan', 'from', 'money', 'view', 'if', 'it', 'is', 'really', 'very', 'urgent']","['charges', 'amount', 'interest', 'normal', 'banks', 'missed', 'emi', 'reasons', 'ideally', 'emi', 'return', 'charges', 'greedy', 'bank', 'single', 'single', 'emi', 'paid', 'double', 'charges', 'choose', 'urgent']","['charg', 'amount', 'interest', 'normal', 'bank', 'miss', 'emi', 'reason', 'ideal', 'emi', 'return', 'charg', 'greedi', 'bank', 'singl', 'singl', 'emi', 'paid', 'doubl', 'charg', 'choos', 'urgent']","['charge', 'amount', 'interest', 'normal', 'bank', 'miss', 'emi', 'reason', 'ideally', 'emi', 'return', 'charge', 'greedy', 'bank', 'single', 'single', 'emi', 'pay', 'double', 'charge', 'choose', 'urgent']","[0.0, 0.0, 1.0, 0.0, 0.0, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, -1.0]",[-5.0],negative,['ideally'],1,"['miss', 'greedy', 'urgent']",3,-2,negative,"['charge', 'amount', 'interest', 'normal', 'bank', 'emi', 'reason', 'emi', 'return', 'charge', 'bank', 'single', 'single', 'emi', 'pay', 'double', 'charge', 'choose']"
